name,time,sp,value,kappa,lambda
LD,200,C.microdon,0.0227903154982846,0.256,1.948
LD,200,C.piriei,0.0061560238881658,0.256,1.948
LD,200,D.eleginoides,0.00332771635226408,0.256,1.948
LD,200,D.mawsoni,0.00478590104129892,0.256,1.948
LD,200,E.antarctica,0.0226410490246953,0.256,1.948
LD,200,E.carlsbergi,0.00618027788800221,0.256,1.948
LD,200,G.braueri,0.0357823197187145,0.256,1.948
LD,200,G.fraseri,0.0212622782812206,0.256,1.948
LD,200,G.nicholsi,0.0564659478493266,0.256,1.948
LD,200,K.anderssoni,0.00318238176494607,0.256,1.948
LD,200,N.achirus,0.0861617007362578,0.256,1.948
LD,200,N.coatsi,0.00793621481753622,0.256,1.948
LD,200,P.antarcticum,0.498975373913395,0.256,1.948
LD,200,P.bolini,0.00463645554414633,0.256,1.948
LD,200,P.gracilis,0.00828404189958916,0.256,1.948
KI_LD,200,B.antarcticus,0.0317187093273032,0.2688,1.948
KI_LD,200,C.gunnari,0.00534237681335364,0.2688,1.948
KI_LD,200,C.microdon,0.0231592531746812,0.2688,1.948
KI_LD,200,C.piriei,0.00622236282501149,0.2688,1.948
KI_LD,200,D.eleginoides,0.00337650492694624,0.2688,1.948
KI_LD,200,D.mawsoni,0.00482679262439743,0.2688,1.948
KI_LD,200,E.antarctica,0.0241260845404912,0.2688,1.948
KI_LD,200,E.carlsbergi,0.00640028863775999,0.2688,1.948
KI_LD,200,G.braueri,0.036980371810043,0.2688,1.948
KI_LD,200,G.fraseri,0.0218145252906366,0.2688,1.948
KI_LD,200,G.nicholsi,0.0589295784300283,0.2688,1.948
KI_LD,200,K.anderssoni,0.0033336526862086,0.2688,1.948
KI_LD,200,N.achirus,0.0887035520666158,0.2688,1.948
KI_LD,200,N.coatsi,0.00802696465236026,0.2688,1.948
KI_LD,200,P.antarcticum,0.509735188467351,0.2688,1.948
KI_LD,200,P.bolini,0.00482450947598043,0.2688,1.948
KI_LD,200,P.gracilis,0.00833932838237662,0.2688,1.948
KD_LD,200,B.antarcticus,0.0290485893517313,0.243,1.948
KD_LD,200,C.gunnari,0.00518645425848897,0.243,1.948
KD_LD,200,C.microdon,0.0223901805960406,0.243,1.948
KD_LD,200,C.piriei,0.00608389039130787,0.243,1.948
KD_LD,200,D.eleginoides,0.00327465886709932,0.243,1.948
KD_LD,200,D.mawsoni,0.00474114829702165,0.243,1.948
KD_LD,200,E.antarctica,0.0211175198636152,0.243,1.948
KD_LD,200,E.carlsbergi,0.00594764282563632,0.243,1.948
KD_LD,200,G.braueri,0.034511164819665,0.243,1.948
KD_LD,200,G.fraseri,0.0206700602148383,0.243,1.948
KD_LD,200,G.nicholsi,0.0538869882232683,0.243,1.948
KD_LD,200,K.anderssoni,0.00302395863627655,0.243,1.948
KD_LD,200,N.achirus,0.0834518406981999,0.243,1.948
KD_LD,200,N.coatsi,0.0078379620547929,0.243,1.948
KD_LD,200,P.antarcticum,0.487421988283238,0.243,1.948
KD_LD,200,P.bolini,0.00443623038206208,0.243,1.948
KD_LD,200,P.gracilis,0.008224024132467,0.243,1.948
