name,time,sp,value,kappa,lambda,relative_change,biomass_change
KI_LI,200,E.antarctica,0.035536852,0.2688,2.06,1.081908477,0.081908477
KI_LI,200,E.carlsbergi,0.008141619,0.2688,2.06,1.044399474,0.044399474
KI_LI,200,G.braueri,0.045614836,0.2688,2.06,1.040267306,0.040267306
KI_LI,200,G.fraseri,0.02654603,0.2688,2.06,1.031871219,0.031871219
KI_LI,200,G.nicholsi,0.074959545,0.2688,2.06,1.054198814,0.054198814
KI_LI,200,K.anderssoni,0.00460993,0.2688,2.06,1.05903962,0.05903962
KI_LI,200,N.achirus,0.104355888,0.2688,2.06,1.034972496,0.034972496
KI_LI,200,N.coatsi,0.008415624,0.2688,2.06,1.013246329,0.013246329
KI_LI,200,P.antarcticum,0.581178215,0.2688,2.06,1.027104086,0.027104086
KI_LI,200,P.bolini,0.00650856,0.2688,2.06,1.047329858,0.047329858
KI_LI,200,P.gracilis,0.008517178,0.2688,2.06,1.007728949,0.007728949
KD_LI,200,B.antarcticus,0.039322666,0.243,2.06,0.988504995,-0.011495005
KD_LI,200,C.gunnari,0.005503058,0.243,2.06,0.991364584,-0.008635416
KD_LI,200,C.microdon,0.02564922,0.243,2.06,0.99694252,-0.00305748
KD_LI,200,C.piriei,0.006307289,0.243,2.06,0.99249787,-0.00750213
KD_LI,200,D.eleginoides,0.003399069,0.243,2.06,0.989271893,-0.010728107
KD_LI,200,D.mawsoni,0.004882579,0.243,2.06,0.99457818,-0.00542182
KD_LI,200,E.antarctica,0.032091886,0.243,2.06,0.977027554,-0.022972446
KD_LI,200,E.carlsbergi,0.007715964,0.243,2.06,0.989796948,-0.010203052
KD_LI,200,G.braueri,0.043365536,0.243,2.06,0.98897098,-0.01102902
KD_LI,200,G.fraseri,0.025591269,0.243,2.06,0.994758693,-0.005241307
KD_LI,200,G.nicholsi,0.069853657,0.243,2.06,0.982391805,-0.017608195
KD_LI,200,K.anderssoni,0.0042971,0.243,2.06,0.987173258,-0.012826742
KD_LI,200,N.achirus,0.099627457,0.243,2.06,0.988077247,-0.011922753
KD_LI,200,N.coatsi,0.008252017,0.243,2.06,0.993547856,-0.006452144
KD_LI,200,P.antarcticum,0.561448278,0.243,2.06,0.992235782,-0.007764218
KD_LI,200,P.bolini,0.006166677,0.243,2.06,0.992315486,-0.007684514
KD_LI,200,P.gracilis,0.008412289,0.243,2.06,0.995318757,-0.004681243
LD,200,B.antarcticus,0.038966181,0.256,2.04,0.979543553,-0.020456447
LD,200,C.gunnari,0.005522788,0.256,2.04,0.994918902,-0.005081098
LD,200,C.microdon,0.02549452,0.256,2.04,0.990929566,-0.009070434
LD,200,C.piriei,0.006337552,0.256,2.04,0.997260033,-0.002739967
LD,200,D.eleginoides,0.003425571,0.256,2.04,0.996984976,-0.003015024
LD,200,D.mawsoni,0.004897588,0.256,2.04,0.997635629,-0.002364371
LD,200,E.antarctica,0.031850553,0.256,2.04,0.969680247,-0.030319753
LD,200,E.carlsbergi,0.007653477,0.256,2.04,0.98178111,-0.01821889
LD,200,G.braueri,0.043156334,0.256,2.04,0.984200044,-0.015799956
LD,200,G.fraseri,0.025355867,0.256,2.04,0.98560837,-0.01439163
LD,200,G.nicholsi,0.069731314,0.256,2.04,0.980671214,-0.019328786
LD,200,K.anderssoni,0.004247329,0.256,2.04,0.975739394,-0.024260606
LD,200,N.achirus,0.099560983,0.256,2.04,0.987417977,-0.012582023
LD,200,N.coatsi,0.00827349,0.256,2.04,0.996133245,-0.003866755
LD,200,P.antarcticum,0.559903537,0.256,2.04,0.989505794,-0.010494206
LD,200,P.bolini,0.00608236,0.256,2.04,0.97874764,-0.02125236
LD,200,P.gracilis,0.008436557,0.256,2.04,0.998190016,-0.001809984
KI_LD,200,B.antarcticus,0.040161078,0.2688,2.04,1.009581242,0.009581242
KI_LD,200,C.gunnari,0.005594226,0.2688,2.04,1.007788348,0.007788348
KI_LD,200,C.microdon,0.025786744,0.2688,2.04,1.002287839,0.002287839
KI_LD,200,C.piriei,0.006398175,0.2688,2.04,1.006799435,0.006799435
KI_LD,200,D.eleginoides,0.003469872,0.2688,2.04,1.009878577,0.009878577
KI_LD,200,D.mawsoni,0.004933422,0.2688,2.04,1.004934948,0.004934948
KI_LD,200,E.antarctica,0.03350803,0.2688,2.04,1.020141629,0.020141629
KI_LD,200,E.carlsbergi,0.007861856,0.2688,2.04,1.008511762,0.008511762
KI_LD,200,G.braueri,0.044263041,0.2688,2.04,1.009438993,0.009438993
