name,time,sp,value,kappa,lambda,relative Change,biomass_change
KI_LI,200,P.gracilis,0.008645718,0.2688,2.153,1.022937348,0.022937348
KD_LI,200,B.antarcticus,0.046035303,0.243,2.153,1.15724929,0.15724929
KD_LI,200,C.gunnari,0.005772534,0.243,2.153,1.039910183,0.039910183
KD_LI,200,C.microdon,0.027436896,0.243,2.153,1.066426495,0.066426495
KD_LI,200,C.piriei,0.006458831,0.243,2.153,1.016344169,0.016344169
KD_LI,200,D.eleginoides,0.003497044,0.243,2.153,1.017786755,0.017786755
KD_LI,200,D.mawsoni,0.004990494,0.243,2.153,1.016560556,0.016560556
KD_LI,200,E.antarctica,0.041446975,0.243,2.153,1.261840342,0.261840342
KD_LI,200,E.carlsbergi,0.008935726,0.243,2.153,1.146266905,0.146266905
KD_LI,200,G.braueri,0.04910129,0.243,2.153,1.119777486,0.119777486
KD_LI,200,G.fraseri,0.02858409,0.243,2.153,1.111092685,0.111092685
KD_LI,200,G.nicholsi,0.082393592,0.243,2.153,1.158748054,0.158748054
KD_LI,200,K.anderssoni,0.005227946,0.243,2.153,1.201016506,0.201016506
KD_LI,200,N.achirus,0.110278196,0.243,2.153,1.093708289,0.093708289
KD_LI,200,N.coatsi,0.008529411,0.243,2.153,1.026946351,0.026946351
KD_LI,200,P.antarcticum,0.612388204,0.243,2.153,1.082260845,0.082260845
KD_LI,200,P.bolini,0.007246239,0.243,2.153,1.166034051,0.166034051
KD_LI,200,P.gracilis,0.008549179,0.243,2.153,1.011515137,0.011515137
LD,200,B.antarcticus,0.030423944,0.256,1.948,0.764806235,-0.235193765
LD,200,C.gunnari,0.005267305,0.256,1.948,0.948894268,-0.051105732
LD,200,C.microdon,0.022790315,0.256,1.948,0.885821642,-0.114178358
LD,200,C.piriei,0.006156024,0.256,1.948,0.968695235,-0.031304765
LD,200,D.eleginoides,0.003327716,0.256,1.948,0.968505241,-0.031494759
LD,200,D.mawsoni,0.004785901,0.256,1.948,0.974885024,-0.025114976
LD,200,E.antarctica,0.022641049,0.256,1.948,0.689299739,-0.310700261
LD,200,E.carlsbergi,0.006180278,0.256,1.948,0.792800467,-0.207199533
LD,200,G.braueri,0.03578232,0.256,1.948,0.816032254,-0.183967746
LD,200,G.fraseri,0.021262278,0.256,1.948,0.826486404,-0.173513596
LD,200,G.nicholsi,0.056465948,0.256,1.948,0.794112813,-0.205887187
LD,200,K.anderssoni,0.003182382,0.256,1.948,0.73108891,-0.26891109
LD,200,N.achirus,0.086161701,0.256,1.948,0.854527641,-0.145472359
LD,200,N.coatsi,0.007936215,0.256,1.948,0.955525113,-0.044474887
LD,200,P.antarcticum,0.498975374,0.256,1.948,0.881828727,-0.118171273
LD,200,P.bolini,0.004636456,0.256,1.948,0.746078776,-0.253921224
LD,200,P.gracilis,0.008284042,0.256,1.948,0.980144878,-0.019855122
KI_LD,200,B.antarcticus,0.031718709,0.2688,1.948,0.797354445,-0.202645555
KI_LD,200,C.gunnari,0.005342377,0.2688,1.948,0.962418212,-0.037581788
KI_LD,200,C.microdon,0.023159253,0.2688,1.948,0.900161636,-0.099838364
KI_LD,200,C.piriei,0.006222363,0.2688,1.948,0.97913415,-0.02086585
KI_LD,200,D.eleginoides,0.003376505,0.2688,1.948,0.982704765,-0.017295235
KI_LD,200,D.mawsoni,0.004826793,0.2688,1.948,0.983214614,-0.016785386
KI_LD,200,E.antarctica,0.024126085,0.2688,1.948,0.734511187,-0.265488813
KI_LD,200,E.carlsbergi,0.006400289,0.2688,1.948,0.821023247,-0.178976753
KI_LD,200,G.braueri,0.036980372,0.2688,1.948,0.843354382,-0.156645618
KI_LD,200,G.fraseri,0.021814525,0.2688,1.948,0.847952807,-0.152047193
KI_LD,200,G.nicholsi,0.058929578,0.2688,1.948,0.828760254,-0.171239746
KI_LD,200,K.anderssoni,0.003333653,0.2688,1.948,0.765840395,-0.234159605
KI_LD,200,N.achirus,0.088703552,0.2688,1.948,0.879737011,-0.120262989
KI_LD,200,N.coatsi,0.008026965,0.2688,1.948,0.966451449,-0.033548551
KI_LD,200,P.antarcticum,0.509735188,0.2688,1.948,0.900844322,-0.099155678
KI_LD,200,P.bolini,0.004824509,0.2688,1.948,0.776339618,-0.223660382
KI_LD,200,P.gracilis,0.008339328,0.2688,1.948,0.986686221,-0.013313779
KD_LD,200,B.antarcticus,0.029048589,0.243,1.948,0.730232166,-0.269767834
KD_LD,200,C.gunnari,0.005186454,0.243,1.948,0.934329084,-0.065670916
KD_LD,200,C.microdon,0.022390181,0.243,1.948,0.870269064,-0.129730936
KD_LD,200,C.piriei,0.00608389,0.243,1.948,0.957344503,-0.042655497
KD_LD,200,D.eleginoides,0.003274659,0.243,1.948,0.953063284,-0.046936716
KD_LD,200,D.mawsoni,0.004741148,0.243,1.948,0.965768918,-0.034231082
KD_LD,200,E.antarctica,0.02111752,0.243,1.948,0.642916365,-0.357083635
KD_LD,200,E.carlsbergi,0.005947643,0.243,1.948,0.762958251,-0.237041749
KD_LD,200,G.braueri,0.034511165,0.243,1.948,0.787042982,-0.212957018
KD_LD,200,G.fraseri,0.02067006,0.243,1.948,0.803466284,-0.196533716
KD_LD,200,G.nicholsi,0.053886988,0.243,1.948,0.757843433,-0.242156567
KD_LD,200,K.anderssoni,0.003023959,0.243,1.948,0.694694347,-0.305305653
KD_LD,200,N.achirus,0.083451841,0.243,1.948,0.827652007,-0.172347993
KD_LD,200,N.coatsi,0.007837962,0.243,1.948,0.94369542,-0.05630458
KD_LD,200,P.antarcticum,0.487421988,0.243,1.948,0.86141067,-0.13858933
KD_LD,200,P.bolini,0.00443623,0.243,1.948,0.713859392,-0.286140608
KD_LD,200,P.gracilis,0.008224024,0.243,1.948,0.973043742,-0.026956258
