name,time,sp,value,kappa,lambda
LD,200,C.microdon,0.0254945198539434,0.256,2.04
LD,200,C.piriei,0.00633755216600808,0.256,2.04
LD,200,D.eleginoides,0.00342557073363896,0.256,2.04
LD,200,D.mawsoni,0.00489758820838747,0.256,2.04
LD,200,E.antarctica,0.0318505531811258,0.256,2.04
LD,200,E.carlsbergi,0.00765347693287633,0.256,2.04
LD,200,G.braueri,0.0431563341772767,0.256,2.04
LD,200,G.fraseri,0.0253558671423122,0.256,2.04
LD,200,G.nicholsi,0.0697313136265619,0.256,2.04
LD,200,K.anderssoni,0.00424732917398144,0.256,2.04
LD,200,N.achirus,0.0995609834074145,0.256,2.04
LD,200,N.coatsi,0.00827348994982232,0.256,2.04
LD,200,P.antarcticum,0.559903537404821,0.256,2.04
LD,200,P.bolini,0.00608236028806597,0.256,2.04
LD,200,P.gracilis,0.00843655678669852,0.256,2.04
KI_LD,200,B.antarcticus,0.0401610778899922,0.2688,2.04
KI_LD,200,C.gunnari,0.00559422611975027,0.2688,2.04
KI_LD,200,C.microdon,0.0257867441854796,0.2688,2.04
KI_LD,200,C.piriei,0.00639817473363805,0.2688,2.04
KI_LD,200,D.eleginoides,0.0034698722452143,0.2688,2.04
KI_LD,200,D.mawsoni,0.00493342198973725,0.2688,2.04
KI_LD,200,E.antarctica,0.0335080304223134,0.2688,2.04
KI_LD,200,E.carlsbergi,0.00786185579302834,0.2688,2.04
KI_LD,200,G.braueri,0.0442630406041241,0.2688,2.04
KI_LD,200,G.fraseri,0.0258293143988783,0.2688,2.04
KI_LD,200,G.nicholsi,0.0722142036615146,0.2688,2.04
KI_LD,200,K.anderssoni,0.00439932122792245,0.2688,2.04
KI_LD,200,N.achirus,0.101887019879195,0.2688,2.04
KI_LD,200,N.coatsi,0.00835395495240077,0.2688,2.04
KI_LD,200,P.antarcticum,0.569614224732049,0.2688,2.04
KI_LD,200,P.bolini,0.00625088778466707,0.2688,2.04
KI_LD,200,P.gracilis,0.00848769642710927,0.2688,2.04
KD_LD,200,B.antarcticus,0.0376921762835941,0.243,2.04
KD_LD,200,C.gunnari,0.00544568294983127,0.243,2.04
KD_LD,200,C.microdon,0.0251782348638236,0.243,2.04
KD_LD,200,C.piriei,0.00627159728696942,0.243,2.04
KD_LD,200,D.eleginoides,0.00337737543279523,0.243,2.04
KD_LD,200,D.mawsoni,0.00485835802726781,0.243,2.04
KD_LD,200,E.antarctica,0.0301367088580502,0.243,2.04
KD_LD,200,E.carlsbergi,0.0074326803614956,0.243,2.04
KD_LD,200,G.braueri,0.0419786877530743,0.243,2.04
KD_LD,200,G.fraseri,0.0248480804731705,0.243,2.04
KD_LD,200,G.nicholsi,0.067119213485291,0.243,2.04
KD_LD,200,K.anderssoni,0.00408795086674822,0.243,2.04
KD_LD,200,N.achirus,0.0970761969965454,0.243,2.04
KD_LD,200,N.coatsi,0.00818639786776624,0.243,2.04
KD_LD,200,P.antarcticum,0.549462437367335,0.243,2.04
KD_LD,200,P.bolini,0.00590309206640933,0.243,2.04
KD_LD,200,P.gracilis,0.00838096910328658,0.243,2.04
