name,sp,w,value
Base,G.nicholsi,0.00317,0.0237082525374251
Base,K.anderssoni,0.00317,0.0508762467845801
Base,N.achirus,0.00317,0.0239380981905722
Base,N.coatsi,0.00317,7.29462922342081e-06
Base,P.antarcticum,0.00317,0.0225322121997028
Base,P.bolini,0.00317,0.0758596569022715
Base,P.gracilis,0.00317,1.3406481210454e-06
Base,B.antarcticus,0.00382,0.0368667696625445
Base,C.gunnari,0.00382,0
Base,C.microdon,0.00382,0.030482588378935
Base,C.piriei,0.00382,2.93154171297467e-06
Base,D.eleginoides,0.00382,0
Base,D.mawsoni,0.00382,0
Base,E.antarctica,0.00382,0.067350391758198
Base,E.carlsbergi,0.00382,0.0155482669670572
Base,G.braueri,0.00382,0.0275741092746151
Base,G.fraseri,0.00382,0.0624347883204049
Base,G.nicholsi,0.00382,0.0208450956339634
Base,K.anderssoni,0.00382,0.0445825098387754
Base,N.achirus,0.00382,0.0210594364030088
Base,N.coatsi,0.00382,6.43367717430295e-06
Base,P.antarcticum,0.00382,0.0198330330497272
Base,P.bolini,0.00382,0.0664046967228257
Base,P.gracilis,0.00382,1.18278095686965e-06
Base,B.antarcticus,0.00462,0.0322953319382778
Base,C.gunnari,0.00462,0
Base,C.microdon,0.00462,0.0268349392363869
Base,C.piriei,0.00462,2.58507932065668e-06
Base,D.eleginoides,0.00462,0
Base,D.mawsoni,0.00462,0
Base,E.antarctica,0.00462,0.0589952068499693
Base,E.carlsbergi,0.00462,0.0136377644130849
Base,G.braueri,0.00462,0.0242063221652193
Base,G.fraseri,0.00462,0.0547985270171281
Base,G.nicholsi,0.00462,0.0183188539695545
Base,K.anderssoni,0.00462,0.0390381773663989
Base,N.achirus,0.00462,0.0185206926884318
Base,N.coatsi,0.00462,5.67384789544087e-06
Base,P.antarcticum,0.00462,0.0174517670142232
Base,P.bolini,0.00462,0.0580843036071717
Base,P.gracilis,0.00462,1.04345769011491e-06
Base,B.antarcticus,0.00558,0.0282704603318443
Base,C.gunnari,0.00558,0
Base,C.microdon,0.00558,0.0236183379421318
Base,C.piriei,0.00558,2.27937218517625e-06
Base,D.eleginoides,0.00558,0
Base,D.mawsoni,0.00558,0
Base,E.antarctica,0.00558,0.0516273586833297
Base,E.carlsbergi,0.00558,0.0119541594758386
Base,G.braueri,0.00558,0.0212382378295325
Base,G.fraseri,0.00558,0.0480720379510783
Base,G.nicholsi,0.00558,0.0160899678254474
Base,K.anderssoni,0.00558,0.0341550024098319
Base,N.achirus,0.00558,0.0162819522463915
Base,N.coatsi,0.00558,5.00326890402176e-06
Base,P.antarcticum,0.00558,0.0153511464591754
Base,P.bolini,0.00558,0.0507641435524178
Base,P.gracilis,0.00558,9.20500929982708e-07
Base,B.antarcticus,0.00675,0.024728095888664
Base,C.gunnari,0.00675,0
Base,C.microdon,0.00675,0.0207821173455724
Base,C.piriei,0.00675,2.00963674693438e-06
Base,D.eleginoides,0.00675,0
Base,D.mawsoni,0.00675,0
Base,E.antarctica,0.00675,0.0451313027221255
Base,E.carlsbergi,0.00675,0.0104707544336417
Base,G.braueri,0.00675,0.018622964899924
Base,G.fraseri,0.00675,0.0421479101598162
Base,G.nicholsi,0.00675,0.0141235639736985
Base,K.anderssoni,0.00675,0.0298552190398895
Base,N.achirus,0.00675,0.0143080055836991
Base,N.coatsi,0.00675,4.41146520375624e-06
Base,P.antarcticum,0.00675,0.0134982983656432
Base,P.bolini,0.00675,0.0443258482049192
Base,P.gracilis,0.00675,8.11989332341164e-07
Base,B.antarcticus,0.00815,0.0216117096709893
Base,C.gunnari,0.00815,0
Base,C.microdon,0.00815,0.0182815695329057
Base,C.piriei,0.00815,1.7716517255619e-06
Base,D.eleginoides,0.00815,0
Base,D.mawsoni,0.00815,0
Base,E.antarctica,0.00815,0.0394052974082163
Base,E.carlsbergi,0.00815,0.00916401954613736
Base,G.braueri,0.00815,0.0163191439845611
Base,G.fraseri,0.00815,0.0369314438187632
Base,G.nicholsi,0.00815,0.0123889039848429
Base,K.anderssoni,0.00815,0.026070301670759
Base,N.achirus,0.00815,0.012567792639627
Base,N.coatsi,0.00815,3.88919465398849e-06
Base,P.antarcticum,0.00815,0.0118642243990515
Base,P.bolini,0.00815,0.0386651272299071
Base,P.gracilis,0.00815,7.16227450613776e-07
Base,B.antarcticus,0.00985,0.0188714045758396
Base,C.gunnari,0.00985,0
Base,C.microdon,0.00985,0.0160772438778632
Base,C.piriei,0.00985,1.56169180856043e-06
Base,D.eleginoides,0.00985,0
Base,D.mawsoni,0.00985,0
Base,E.antarctica,0.00985,0.0343597657735011
Base,E.carlsbergi,0.00985,0.00801321815222354
Base,G.braueri,0.00985,0.014290290892258
Base,G.fraseri,0.00985,0.0323391496071738
Base,G.nicholsi,0.00985,0.010858896569192
Base,K.anderssoni,0.00985,0.0227398677898668
Base,N.achirus,0.00985,0.0110339121681335
Base,N.coatsi,0.00985,3.42830267410806e-06
Base,P.antarcticum,0.00985,0.0104233418599436
Base,P.bolini,0.00985,0.0336900996276872
Base,P.gracilis,0.00985,6.31719133076997e-07
Base,B.antarcticus,0.0119,0.0164631240003042
Base,C.gunnari,0.0119,0
Base,C.microdon,0.0119,0.0141343275111881
Base,C.piriei,0.0119,1.37646916068363e-06
Base,D.eleginoides,0.0119,0
Base,D.mawsoni,0.0119,0
Base,E.antarctica,0.0119,0.0299158423583078
Base,E.carlsbergi,0.0119,0.00700007519090186
Base,G.braueri,0.0119,0.0125042169634292
Base,G.fraseri,0.0119,0.0282974232887727
Base,G.nicholsi,0.0119,0.00950966630180083
Base,K.anderssoni,0.0119,0.0198107072345075
Base,N.achirus,0.0119,0.00968218874069139
Base,N.coatsi,0.0119,3.02159401320704e-06
Base,P.antarcticum,0.0119,0.00915307843518017
Base,P.bolini,0.0119,0.0293198181406417
Base,P.gracilis,0.0119,5.57144050367572e-07
Base,B.antarcticus,0.0144,0.0143479550334946
Base,C.gunnari,0.0144,0
Base,C.microdon,0.0144,0.0124220985765824
Base,C.piriei,0.0144,1.21308183700784e-06
Base,D.eleginoides,0.0144,0
Base,D.mawsoni,0.0144,0
Base,E.antarctica,0.0144,0.0260040833682808
Base,E.carlsbergi,0.0144,0.00610848403201881
Base,G.braueri,0.0144,0.0109325175671471
Base,G.fraseri,0.0144,0.0247413749040262
Base,G.nicholsi,0.0144,0.0083201720153556
Base,K.anderssoni,0.0144,0.0172359232615591
Base,N.achirus,0.0144,0.00849129063678629
Base,N.coatsi,0.0144,2.66271958368923e-06
Base,P.antarcticum,0.0144,0.00803351451686751
Base,P.bolini,0.0144,0.0254829641062538
Base,P.gracilis,0.0144,4.91336985704822e-07
Base,B.antarcticus,0.0174,0.0124915152544263
Base,C.gunnari,0.0174,0
Base,C.microdon,0.0174,0.0109134438161249
Base,C.piriei,0.0174,1.06896828981816e-06
Base,D.eleginoides,0.0174,0
Base,D.mawsoni,0.0174,0
Base,E.antarctica,0.0174,0.0225633210441164
Base,E.carlsbergi,0.0174,0.00532424714314189
Base,G.braueri,0.0174,0.00955012089055778
Base,G.fraseri,0.0174,0.0216137944625537
Base,G.nicholsi,0.0174,0.00727186898325904
Base,K.anderssoni,0.0174,0.01497417253997
Base,N.achirus,0.0174,0.00744239268647658
Base,N.coatsi,0.0174,2.34607659457431e-06
Base,P.antarcticum,0.0174,0.00704706760136917
Base,P.bolini,0.0174,0.0221166929694873
Base,P.gracilis,0.0174,4.3326956357065e-07
Base,B.antarcticus,0.021,0.0108634134454715
Base,C.gunnari,0.021,3.79451547073466e-07
Base,C.microdon,0.021,0.00958443295410397
Base,C.piriei,0.021,9.41867253905365e-07
Base,D.eleginoides,0.021,0
Base,D.mawsoni,0.021,0
Base,E.antarctica,0.021,0.0195396459845602
Base,E.carlsbergi,0.021,0.00463484668780913
Base,G.braueri,0.021,0.00833489008404352
Base,G.fraseri,0.021,0.0188642382290062
Base,G.nicholsi,0.021,0.00634840976718671
Base,K.anderssoni,0.021,0.012988992866488
Base,N.achirus,0.021,0.00651887883241009
Base,N.coatsi,0.021,2.06672042907529e-06
Base,P.antarcticum,0.021,0.00617821393354841
Base,P.bolini,0.021,0.0191656132040091
Base,P.gracilis,0.021,3.82034130704691e-07
Base,B.antarcticus,0.0254,0.00943677561382871
Base,C.gunnari,0.0254,3.3362902606107e-07
Base,C.microdon,0.0254,0.00841394390698269
Base,C.piriei,0.0254,8.29782378172609e-07
Base,D.eleginoides,0.0254,0
Base,D.mawsoni,0.0254,0
Base,E.antarctica,0.0254,0.016885503652281
Base,E.carlsbergi,0.0254,0.00402924165480313
Base,G.braueri,0.0254,0.00726727264715854
Base,G.fraseri,0.0254,0.0164482216434059
Base,G.nicholsi,0.0254,0.00553537927680155
Base,K.anderssoni,0.0254,0.0112482088769148
Base,N.achirus,0.0254,0.00570607979805948
Base,N.coatsi,0.0254,1.82028689489562e-06
Base,P.antarcticum,0.0254,0.00541324313186126
Base,P.bolini,0.0254,0.0165808836296397
Base,P.gracilis,0.0254,3.36829536868031e-07
Base,B.antarcticus,0.0306,0.00818782866802334
Base,C.gunnari,0.0306,2.93208855975713e-07
Base,C.microdon,0.0306,0.0073833355665037
Base,C.piriei,0.0306,7.3095104494662e-07
Base,D.eleginoides,0.0306,3.64061850150654e-09
Base,D.mawsoni,0.0306,9.45173407383735e-10
Base,E.antarctica,0.0306,0.014558893489331
Base,E.carlsbergi,0.0306,0.00349768856213917
Base,G.braueri,0.0306,0.00632999165856554
Base,G.fraseri,0.0306,0.0143265066325265
Base,G.nicholsi,0.0306,0.00482006018908716
Base,K.anderssoni,0.0306,0.00972340730764588
Base,N.achirus,0.0306,0.00499104179399342
Base,N.coatsi,0.0306,1.60292363746524e-06
Base,P.antarcticum,0.0306,0.00474004202722476
Base,P.bolini,0.0306,0.014319416070943
Base,P.gracilis,0.0306,2.9694859244207e-07
Base,B.antarcticus,0.037,0.00709553493950962
Base,C.gunnari,0.037,2.57563232657851e-07
Base,C.microdon,0.037,0.00647618045358624
Base,C.piriei,0.037,6.43816883272591e-07
Base,D.eleginoides,0.037,3.20416997624559e-09
Base,D.mawsoni,0.037,8.32493828593737e-10
Base,E.antarctica,0.037,0.0125226609470453
Base,E.carlsbergi,0.037,0.00303158316604315
Base,G.braueri,0.037,0.00550777407878389
Base,G.fraseri,0.037,0.0124644725734422
Base,G.nicholsi,0.037,0.00419122540339758
Base,K.anderssoni,0.037,0.00838947446209093
Base,N.achirus,0.037,0.00436232267287573
Base,N.coatsi,0.037,1.41122964855844e-06
Base,P.antarcticum,0.037,0.00414790438100471
Base,P.bolini,0.037,0.0123431719924877
Base,P.gracilis,0.037,2.6176700603143e-07
Base,B.antarcticus,0.0447,0.0061412714857901
Base,C.gunnari,0.0447,2.26137899916238e-07
Base,C.microdon,0.0447,0.00567815977465863
Base,C.piriei,0.0447,5.67005539795085e-07
Base,D.eleginoides,0.0447,2.81955029124821e-09
Base,D.mawsoni,0.0447,7.33134188820426e-10
Base,E.antarctica,0.0447,0.0107438742653153
Base,E.carlsbergi,0.0447,0.00262332093676436
Base,G.braueri,0.0447,0.00478711189765758
Base,G.fraseri,0.0447,0.0108315614824669
Base,G.nicholsi,0.0447,0.00363895466703661
Base,K.anderssoni,0.0447,0.00722418946034119
Base,N.achirus,0.0447,0.00380981236384823
Base,N.coatsi,0.0447,1.24220192769538e-06
Base,P.antarcticum,0.0447,0.00362736352300924
Base,P.bolini,0.0447,0.0106185431824282
Base,P.gracilis,0.0447,2.30733628251048e-07
Base,B.antarcticus,0.0541,0.00530854877401077
Base,C.gunnari,0.0541,1.98443350702687e-07
Base,C.microdon,0.0541,0.00497777646141802
Base,C.piriei,0.0541,4.99303321509427e-07
Base,D.eleginoides,0.0541,2.48067151597014e-09
Base,D.mawsoni,0.0541,6.45532807598557e-10
Base,E.antarctica,0.0541,0.00919327899369428
Base,E.carlsbergi,0.0541,0.00226617434183532
Base,G.braueri,0.0541,0.00415605236861113
Base,G.fraseri,0.0541,0.00940078913881021
Base,G.nicholsi,0.0541,0.00315447289521855
Base,K.anderssoni,0.0541,0.00620786760586764
Base,N.achirus,0.0541,0.00332457478446021
Base,N.coatsi,0.0541,1.09318846346164e-06
Base,P.antarcticum,0.0541,0.00317004527639521
Base,P.bolini,0.0541,0.00911580775056616
Base,P.gracilis,0.0541,2.03361848166958e-07
Base,B.antarcticus,0.0653,0.00458276393429045
Base,C.gunnari,0.0653,1.74047071576164e-07
Base,C.microdon,0.0653,0.00437185030005552
Base,C.piriei,0.0653,4.39638369515593e-07
Base,D.eleginoides,0.0653,2.18215620100812e-09
Base,D.mawsoni,0.0653,5.68310741486458e-10
Base,E.antarctica,0.0653,0.00784482402374866
Base,E.carlsbergi,0.0653,0.00195418520618192
Base,G.braueri,0.0653,0.00360401397835049
Base,G.fraseri,0.0653,0.00814831482815759
Base,G.nicholsi,0.0653,0.00273000802932638
Base,K.anderssoni,0.0653,0.0053230488016527
Base,N.achirus,0.0653,0.00289870874930613
Base,N.coatsi,0.0653,9.61846798227423e-07
Base,P.antarcticum,0.0653,0.00276853881997168
Base,P.bolini,0.0653,0.00780865367670638
Base,P.gracilis,0.0653,1.79222006756035e-07
Base,B.antarcticus,0.0789,0.00395098430062432
Base,C.gunnari,0.0789,1.52566713696908e-07
Base,C.microdon,0.0789,0.00389629662486579
Base,C.piriei,0.0789,3.87064062628609e-07
Base,D.eleginoides,0.0789,1.91925404709222e-09
Base,D.mawsoni,0.0789,5.00250230782736e-10
Base,E.antarctica,0.0789,0.00667525331547466
Base,E.carlsbergi,0.0789,0.00168207060119147
Base,G.braueri,0.0789,0.00312162515296954
Base,G.fraseri,0.0789,0.00705306322282993
Base,G.nicholsi,0.0789,0.00235866653054807
Base,K.anderssoni,0.0789,0.00455422640667744
Base,N.achirus,0.0789,0.00252522567459031
Base,N.coatsi,0.0789,8.4610752437035e-07
Base,P.antarcticum,0.0789,0.00241628338614695
Base,P.bolini,0.0789,0.00667376291216762
Base,P.gracilis,0.0789,1.57934707540741e-07
Base,B.antarcticus,0.0954,0.00340175743361747
Base,C.gunnari,0.0954,1.33664086859081e-07
Base,C.microdon,0.0954,0.00370588974530513
Base,C.piriei,0.0954,3.40744384910702e-07
Base,D.eleginoides,0.0954,1.68776849016392e-09
Base,D.mawsoni,0.0954,4.40275712698585e-10
Base,E.antarctica,0.0954,0.00566375759866526
Base,E.carlsbergi,0.0954,0.0014451408568254
Base,G.braueri,0.0954,0.00270058300865298
Base,G.fraseri,0.0954,0.00609639261864963
Base,G.nicholsi,0.0954,0.00203432479670903
Base,K.anderssoni,0.0954,0.00388761226478215
Base,N.achirus,0.0954,0.00219794212227685
Base,N.coatsi,0.0954,7.44142134503352e-07
Base,P.antarcticum,0.0954,0.00210746891085881
Base,P.bolini,0.0954,0.00569044963081598
Base,P.gracilis,0.0954,1.39164918486014e-07
Base,B.antarcticus,0.115,0.00292494423779941
Base,C.gunnari,0.115,1.17039884379459e-07
Base,C.microdon,0.115,0.0037489270364016
Base,C.piriei,0.115,2.99941022135476e-07
Base,D.eleginoides,0.115,1.48399201548256e-09
Base,D.mawsoni,0.115,3.87437097954509e-10
